frame_index,file,split,refine_mode,candidate_label,sigma_x_lr_px,sigma_y_lr_px,angle_deg,initial_dx_px,initial_dy_px,delta_dx_px,delta_dy_px,refined_dx_px,refined_dy_px,band_mse,band_rms,full_mse,full_rms
1,12_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.0323735475540161,-2.054717540740967,1.1920928955078125e-07,-0.5,1.0323736667633057,-2.554717540740967,0.010733034386256547,0.10360035900640763,564.6214791307015,23.761765067660725
2,14_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,0.9413192868232727,-2.0919480323791504,1.7881393432617188e-07,-0.5,0.941319465637207,-2.5919480323791504,0.010858011274539465,0.10420178153246452,564.1293614179784,23.75140756708912
3,16_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.106810450553894,-2.146850824356079,-0.1999998688697815,-0.5,0.9068105816841125,-2.646850824356079,0.010947893815048156,0.10463218345732901,563.028411216076,23.72821972285481
4,18_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.009308099746704,-2.185732841491699,-0.1999998688697815,-0.5,0.8093082308769226,-2.685732841491699,0.011010009356835966,0.10492859170329108,562.402577724588,23.715028520425356
6,24_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.0154112577438354,-2.885392189025879,-0.4999999403953552,2.384185791015625e-07,0.5154113173484802,-2.8853919506073,0.011026433702514745,0.10500682693289397,560.3033833286711,23.67072840722632
7,28_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,0.8671016693115234,-3.006274700164795,-0.4999999403953552,2.384185791015625e-07,0.3671017289161682,-3.006274461746216,0.011067029202964868,0.10519994868328059,559.4419947700446,23.65252618157402
8,32_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,0.1517016887664795,-2.8981990814208984,1.7881393432617188e-07,-0.19999980926513672,0.15170186758041382,-3.098198890686035,0.011159336422183693,0.10563776039931788,558.1474602548216,23.62514466103481
9,36_0_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,-0.007783790118992329,-3.0222785472869873,1.7881393432617188e-07,-0.19999980926513672,-0.0077836113050580025,-3.222278356552124,0.011159981259446465,0.10564081247059048,557.5125881699884,23.61170447405245
11,0_2_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.8673499822616577,-1.9710469245910645,-0.49999988079071045,2.384185791015625e-07,1.3673501014709473,-1.9710466861724854,0.011535940008771041,0.10740549338265265,550.3782845225695,23.460142465947847
12,2_2_0.txt,train,bounded,sx0.100_sy0.100_a0.0,0.1,0.1,0.0,1.0375491380691528,-2.031935214996338,0.20000016689300537,2.384185791015625e-07,1.2375493049621582,-2.031934976577759,0.01159770566076835,0.10769264441348049,548.1181981036165,23.41192427169575
